[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 40.859386 -14.060418 386.79364 ],[ 96.978065 -13.809427 441.81665 ],[157.20477 -14.10443 508.66858]
[-69.03388  -13.956636 293.31302 ],[-13.577623 -13.99679  336.92194 ],[ 40.859386 -14.060418 386.79364 ],[ 97.17414  -13.833429 441.64066 ],[157.64215  -14.160402 508.3386  ]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 41.038914 -14.082593 386.55194 ],[ 97.34031  -13.859213 441.33734 ],[157.94763 -14.2925  507.67474]
[-69.03388  -13.956636 293.31302 ],[-13.594953  -13.9350815 336.9314   ],[ 41.05514  -14.079848 386.68765 ],[ 97.370056 -13.857414 441.46484 ],[157.94763 -14.2925  507.67474]
[-69.06669  -13.951429 293.45944 ],[-13.594953  -13.9350815 336.9314   ],[ 41.02028  -14.168295 386.56577 ],[ 97.370056 -13.857414 441.46484 ],[158.00247  -14.218275 507.77213 ]
[-69.06669  -13.951429 293.45944 ],[-13.598825 -13.931201 337.07312 ],[ 40.84073  -14.146188 386.8075  ],[ 97.15562 -13.91272 441.65735],[157.58728  -14.234787 508.24094 ]
[-69.06669  -13.951429 293.45944 ],[-13.594953  -13.9350815 336.9314   ],[ 40.822124 -14.231974 386.82135 ],[ 96.76327  -13.864821 442.00955 ],[157.28104  -14.102398 508.9064  ]
[-69.06669  -13.951429 293.45944 ],[-13.594953  -13.9350815 336.9314   ],[ 40.644848 -14.126804 386.91357 ],[ 96.568924 -13.756005 442.34705 ],[156.83667  -14.022331 509.43536 ]
[-69.06669  -13.951429 293.45944 ],[-13.598825 -13.931201 337.07312 ],[ 40.523113 -14.087744 387.2599  ],[ 96.41087  -13.892751 442.63562 ],[156.60071  -13.740468 510.1817  ]
[-69.06669  -13.951429 293.45944 ],[-13.598825 -13.931201 337.07312 ],[ 40.44625   -14.1905575 387.1697   ],[ 96.23266  -13.789141 442.7958  ],[156.53593 -13.58535 510.46515]
[-69.06669  -13.951429 293.45944 ],[-13.598825 -13.931201 337.07312 ],[ 40.480957 -14.10189  387.29196 ],[ 96.04659  -13.842946 443.1183  ],[156.51106  -13.366096 510.16165 ]
[-69.06669  -13.951429 293.45944 ],[-13.616727 -14.023643 337.0854  ],[ 40.478355 -14.185062 387.44214 ],[ 96.24362  -13.866946 442.9411  ],[156.3875   -13.736264 510.14813 ]
[-69.06669  -13.951429 293.45944 ],[-13.620607 -14.019778 337.2272  ],[ 40.478355 -14.185062 387.44214 ],[ 96.440475 -13.890925 442.764   ],[156.55211  -13.839441 509.88394 ]
[-69.06669  -13.951429 293.45944 ],[-13.620607 -14.019778 337.2272  ],[ 40.67454  -14.204428 387.3356  ],[ 96.63929  -13.829996 442.7484  ],[156.93597  -13.970595 509.45444 ]
[-69.03388  -13.956636 293.31302 ],[-13.620607 -14.019778 337.2272  ],[ 40.905426 -14.135218 387.3513  ],[ 97.03009  -13.962743 442.2336  ],[157.27658  -13.956398 508.7455  ]
[-69.03388  -13.956636 293.31302 ],[-13.436609 -14.03549  337.1691  ],[ 40.905426 -14.135218 387.3513  ],[ 97.25605  -13.984852 442.18488 ],[157.49907  -14.455992 508.1849  ]
[-69.03388  -13.956636 293.31302 ],[-13.436609 -14.03549  337.1691  ],[ 41.082813 -14.240402 387.25867 ],[ 97.4337   -14.088022 442.02505 ],[157.83199  -14.683657 507.46375 ]
