[-182.3346   -57.74547  691.86005],[-62.203323 -49.23015  629.7071  ],[ 60.8462  -40.76665 557.2782 ],[179.54776 -32.28962 477.8398 ],[290.8695 -24.6172 401.2502]
[-182.37842   -57.744747  692.0281  ],[-62.197952 -49.417114 629.42816 ],[ 60.8462  -40.76665 557.2782 ],[179.21997  -32.164303 477.77762 ],[290.41803  -24.647196 400.95215 ]
[-182.37842   -57.744747  692.0281  ],[-62.54499 -49.24405 629.3436 ],[ 60.800213 -40.65519  556.9254  ],[179.21997  -32.164303 477.77762 ],[290.41803  -24.647196 400.95215 ]
[-182.32645   -57.675148  691.8373  ],[-62.495422 -49.154556 628.8289  ],[ 60.800213 -40.65519  556.9254  ],[179.104   -32.1761  477.45685],[289.95267 -24.68573 400.29407]
[-182.2908    -57.746197  691.69214 ],[-62.519463 -49.1522   629.06384 ],[ 60.74177  -40.667236 556.3466  ],[179.03325  -32.326057 477.21063 ],[289.7203   -24.704973 399.96548 ]
[-182.28261  -57.67586  691.66925],[-62.495422 -49.154556 628.8289  ],[ 60.758423 -40.784664 556.4098  ],[178.91739  -32.337803 476.89032 ],[289.48816 -24.7242  399.6372 ]
[-182.32645   -57.675148  691.8373  ],[-62.495422 -49.154556 628.8289  ],[ 60.758423 -40.784664 556.4098  ],[179.08319  -32.336674 476.55743 ],[289.00958  -24.771196 398.6224  ]
[-182.28261  -57.67586  691.66925],[-62.131577 -49.237206 629.00116 ],[ 61.05462  -40.900604 555.9313  ],[178.85138  -32.360165 475.91772 ],[288.5469   -24.809542 397.96872 ]
[-182.32645   -57.675148  691.8373  ],[-62.106174 -49.145283 628.7211  ],[ 61.376328 -40.769527 555.9046  ],[178.9005  -32.37082 475.26556],[288.1637  -25.0042  397.39508]
[-182.32645   -57.675148  691.8373  ],[-61.764633 -49.13129  629.08386 ],[ 61.346703 -40.775547 555.6152  ],[178.94548  -32.508938 475.34003 ],[287.85458  -24.866945 396.99066 ]
[-182.32645   -57.675148  691.8373  ],[-61.740814 -49.13365  628.8484  ],[ 61.33001 -40.65802 555.552  ],[179.03886  -32.657764 474.76288 ],[287.1643   -24.924217 396.01556 ]
[-182.3346   -57.74547  691.86005],[-61.766052 -49.225662 629.1287  ],[ 61.65497  -40.768013 555.36206 ],[179.20284 -32.65677 474.43027],[286.9346   -24.943274 395.69116 ]
[-182.28261  -57.67586  691.66925],[-61.71701  -49.136017 628.6129  ],[ 61.94613  -40.642853 555.04535 ],[179.15788 -32.51859 474.35565],[286.7661  -25.23471 395.44302]
[-182.32645   -57.675148  691.8373  ],[-61.71701  -49.136017 628.6129  ],[ 61.94613  -40.642853 555.04535 ],[179.5762  -32.77221 474.72626],[286.7661  -25.23471 395.44302]
[-182.28261  -57.67586  691.66925],[-61.742264 -49.22802  628.89325 ],[ 61.96291  -40.760498 555.10876 ],[179.7177  -32.49315 474.3282 ],[286.5369   -25.253582 395.11932 ]
[-182.28261  -57.67586  691.66925],[-61.718487 -49.230377 628.65784 ],[ 61.96291  -40.760498 555.10876 ],[179.8344   -32.481403 474.64746 ],[286.75064  -25.243172 395.08646 ]
[-182.27449  -57.60553  691.64636],[-61.740814 -49.13365  628.8484  ],[ 61.96291  -40.760498 555.10876 ],[179.76279  -32.631447 474.40286 ],[287.13153  -25.049284 395.65582 ]
[-182.63474  -57.75091  691.4218 ],[-61.758224 -49.22381  628.7602  ],[ 62.330853 -40.7409   555.4344  ],[179.81128  -32.621204 474.63803 ],[287.13153  -25.049284 395.65582 ]
[-182.62648   -57.680668  691.39905 ],[-61.735622 -49.320415 628.5697  ],[ 62.330853 -40.7409   555.4344  ],[179.92804 -32.60956 474.95752],[287.3614   -25.030312 395.98022 ]
[-182.67033   -57.679947  691.5667  ],[-61.75945 -49.31812 628.805  ],[ 62.0396   -40.866127 555.75134 ],[180.04486  -32.597904 475.27728 ],[288.05237  -24.973303 396.95557 ]
[-182.67853  -57.75019  691.5896 ],[-61.807144 -49.31354  629.27594 ],[ 62.022884 -40.748413 555.6879  ],[180.13968  -32.307755 475.5322  ],[288.36163  -25.110683 397.35995 ]
[-182.3346   -57.74547  691.86005],[-61.782097 -49.22151  628.9956  ],[ 62.06596 -40.61862 556.20435],[180.02094  -32.447155 475.94003 ],[288.82397  -25.072693 398.01248 ]
[-182.29909  -57.81653  691.7149 ],[-61.764633 -49.13129  629.08386 ],[ 62.082886 -40.736332 556.2677  ],[180.20937 -32.28519 476.50638],[289.08832  -24.927816 398.7012  ]
[-182.34286   -57.815804  691.8829  ],[-61.763348 -49.036945 629.039   ],[ 61.80404  -40.737854 556.8108  ],[179.99916  -32.147903 476.76535 ],[289.70535  -24.713562 399.60538 ]
[-182.3346   -57.74547  691.86005],[-61.766052 -49.225662 629.1287  ],[ 61.46521  -40.751457 556.77356 ],[179.83401 -32.14902 477.09875],[289.93774  -24.694323 399.9337  ]
[-182.2908    -57.746197  691.69214 ],[-61.787205 -49.034576 629.27454 ],[ 61.48192 -40.86909 556.8369 ],[179.83028  -32.276695 477.8276  ],[290.40314 -24.65579 400.59134]
[-182.3346   -57.74547  691.86005],[-62.174015 -49.419395 629.19293 ],[ 61.44837  -40.633858 556.7103  ],[179.83028  -32.276695 477.8276  ],[290.40314 -24.65579 400.59134]
[-182.2908    -57.746197  691.69214 ],[-62.175495 -49.51366  629.23773 ],[ 61.12214 -40.524   556.8997 ],[179.54776 -32.28962 477.8398 ],[290.71527  -24.793558 400.9996  ]
[-182.3346   -57.74547  691.86005],[-62.174015 -49.419395 629.19293 ],[ 60.812557 -40.531723 557.15204 ],[179.50244 -32.15132 477.7654 ],[290.63623  -24.636503 400.92062 ]
[-182.3346   -57.74547  691.86005],[-62.52097 -49.2464  629.10864],[ 60.800213 -40.65519  556.9254  ],[179.2652   -32.302547 477.85202 ],[290.63623  -24.636503 400.92062 ]
[-182.3346   -57.74547  691.86005],[-62.563503 -49.42863  629.3001  ],[ 60.816933 -40.77265  556.9885  ],[179.21997  -32.164303 477.77762 ],[290.65393  -24.518394 400.92358 ]
[-182.28261  -57.67586  691.66925],[-62.52097 -49.2464  629.10864],[ 60.800213 -40.65519  556.9254  ],[179.21997  -32.164303 477.77762 ],[290.17035  -24.675064 400.2623  ]
[-182.32645   -57.675148  691.8373  ],[-62.515427 -49.433174 628.83026 ],[ 60.77099 -40.66121 556.6359 ],[178.9881  -32.18789 477.13632],[289.7203   -24.704973 399.96548 ]
[-182.28261  -57.67586  691.66925],[-62.489933 -49.34129  628.55066 ],[ 60.758423 -40.784664 556.4098  ],[178.91739  -32.337803 476.89032 ],[289.25626  -24.743412 399.3093  ]
[-182.28261  -57.67586  691.66925],[-62.14871  -49.327427 628.91296 ],[ 60.758423 -40.784664 556.4098  ],[179.08319  -32.336674 476.55743 ],[289.08832  -24.927816 398.7012  ]
[-182.28261  -57.67586  691.66925],[-62.124763 -49.32971  628.67786 ],[ 61.021446 -40.665634 555.8048  ],[178.85138  -32.360165 475.91772 ],[288.62552 -24.96604 398.04752]
[-182.32645   -57.675148  691.8373  ],[-62.174015 -49.419395 629.19293 ],[ 61.35959 -40.65198 555.8414 ],[178.94548  -32.508938 475.34003 ],[288.1637  -25.0042  397.39508]
[-182.2908    -57.746197  691.69214 ],[-61.766052 -49.225662 629.1287  ],[ 61.346703 -40.775547 555.6152  ],[178.94548  -32.508938 475.34003 ],[287.85458  -24.866945 396.99066 ]
